gene_symbol	ensembl_gene_id	description	module	degree	hub_score	max_diff	padj	protein_atlas	gene_cards	receptor	uro_receptor	keep	go_terms	go_condensed	mean_expr_UroA	mean_expr_UroB	mean_expr_UroC	mean_expr_GU	mean_expr_BaSq	rwr_score
CCL2	ENSG00000108691	C-C motif chemokine ligand 2	1	180	0.4	1.48	4.4e-48	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.763108901018797	0.234646536973496	0.272847746067993	0.117892147045794	0.712572067984171	0.00147282519703642
CD247	ENSG00000198821	CD247 molecule	1	92	0.2	1.08	6.9e-27	stromal_cells	NA	NA	NA	no	Not annotated	Not annotated	-0.648291945509773	0.170017532161596	0.430027603759222	0.0394924493105608	0.372858969845951	0.00225974509725843
CD274	ENSG00000120217	CD274 molecule	1	136	0.32	1.55	1.1e-35	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.590068320147259	0.158050239231618	-0.383924177997097	0.157280288542028	0.955570320846244	0.00242967848993905
CD34	ENSG00000174059	CD34 molecule	1	206	0.45	1.09	2e-08	stromal_cells	NA	NA	NA	no	Not annotated	Not annotated	-0.432504831635397	-0.0858011048906013	0.65959455825712	-0.0337547480552869	-0.0833770719625725	0.00278108479134844
CD8A	ENSG00000153563	CD8 subunit alpha	1	216	0.48	1.09	4.1e-17	stromal_cells	NA	NA	NA	no	Not annotated	Not annotated	-0.533439753869168	0.0339198968637051	0.1912754036352	-0.0792009266821455	0.552289284915979	0.0027855609504461
CSF1	ENSG00000184371	colony stimulating factor 1	1	152	0.34	1.26	1.2e-31	missing	NA	NA	NA	review	bladder disease	Bladder-related	-0.61698230258249	0.221298440557915	0.0764931312574488	-0.280403590904638	0.639623200672105	0.00444604383719857
CSF2	ENSG00000164400	colony stimulating factor 2	1	212	0.48	1.17	3.9e-18	stromal_cells	NA	NA	NA	review	bladder disease	Bladder-related	-0.410519856223323	0.168760190438373	-0.249964667927997	0.0863993388298973	0.755041607287187	0.00274415578819816
CSF3	ENSG00000108342	colony stimulating factor 3	1	144	0.32	1.22	1.9e-25	stromal_cells	NA	NA	NA	review	bladder disease	Bladder-related	-0.398480650356869	0.0941531265764767	-0.372360207996942	-0.15785303942644	0.8209799872314	0.00132855881913163
CXCL8	ENSG00000169429	C-X-C motif chemokine ligand 8	1	248	0.53	1.56	2.2e-40	missing	NA	NA	NA	no	urinary bladder cancer; bladder carcinoma	Bladder-related	-0.554242221137224	0.575665222751547	-0.555532024785957	0.092725749716972	1.00864278697797	0.00287330972338396
CXCR4	ENSG00000121966	C-X-C motif chemokine receptor 4	1	234	0.51	1.13	1.8e-33	missing	NA	NA	NA	review	urinary bladder cancer; bladder carcinoma	Bladder-related	-0.683432957188029	0.0694672564195905	0.231975097299844	0.0158956967399103	0.449685175247837	0.002883694713507
FAS	ENSG00000026103	Fas cell surface death receptor	1	112	0.25	1.1	4.7e-11	ambiguous	NA	NA	NA	review	urinary bladder cancer	Bladder-related	-0.238385766131997	0.0115039529708831	-0.399657968789604	-0.393154539247131	0.696407936693214	0.00120312395947098
GATA3	ENSG00000107485	GATA binding protein 3	1	116	0.25	1.51	4.2e-42	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.493262475755718	0.224888124366645	0.237470429028362	0.296156307553683	-1.01738506168758	0.00155048002764259
ICAM1	ENSG00000090339	intercellular adhesion molecule 1	1	204	0.45	1.54	2.5e-46	stromal_cells	NA	NA	NA	no	urinary bladder cancer	Bladder-related	-0.740475333109364	0.275592775524609	-0.0933837274605049	0.217216641643683	0.801711555001904	0.00161197938931716
IFNG	ENSG00000111537	interferon gamma	1	188	0.41	1.27	4.9e-21	ligand	NA	NA	NA	review	urinary bladder cancer	Bladder-related	-0.492625370097335	0.0856125859325828	-0.199996957783492	0.174354848341813	0.77245425799467	0.00149952434508807
IL10	ENSG00000136634	interleukin 10	1	226	0.48	1.28	3.9e-31	ligand	NA	NA	NA	review	Not annotated	Not annotated	-0.578308141356689	0.111485077935175	-0.405964713326419	0.0239027087169842	0.70036567900152	0.00165955906765345
IL15	ENSG00000164136	interleukin 15	1	124	0.26	1.32	5.6e-22	stromal_cells	NA	NA	NA	review	Not annotated	Not annotated	-0.461121768666763	0.178321004909234	-0.295387559080939	-0.178588713271043	0.862730501828101	0.00123570986068391
IL1B	ENSG00000125538	interleukin 1 beta	1	278	0.59	1.19	2.6e-18	missing	NA	NA	NA	review	urinary bladder cancer; bladder disease	Bladder-related	-0.463929810257765	0.216612856832685	0.135533009672104	0.075059531977961	0.724011130590653	0.0029883622310818
IL6	ENSG00000136244	interleukin 6	1	356	0.72	1.36	1.4e-33	stromal_cells	NA	NA	NA	review	bladder disease	Bladder-related	-0.54384957768254	-0.0544382840628011	-0.137462120784465	-0.0146278759743958	0.818487997223523	0.003506494719805
IL7	ENSG00000104432	interleukin 7	1	140	0.3	1.04	4.9e-11	stromal_cells	NA	NA	NA	review	Not annotated	Not annotated	0.0291614761758961	0.276355974267698	-0.170618590648421	-0.658587158888363	0.380805892496534	0.00132199481477038
JAK2	ENSG00000096968	Janus kinase 2	1	280	0.6	1.1	1.7e-11	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.168301645684861	0.244188118422962	-0.47086822506493	-0.555892768980609	0.546042090560464	0.00513720636488068
PRLR	ENSG00000113494	prolactin receptor	1	76	0.16	1.27	3.5e-29	ambiguous	NA	NA	NA	review	Not annotated	Not annotated	-0.349211774474098	-0.32780849343666	0.325588741472826	0.841717633204581	-0.425391311939093	0.00142411227878221
PTGS2	ENSG00000073756	prostaglandin-endoperoxide synthase 2	1	182	0.44	1.03	1.1e-08	uro_cells	NA	NA	NA	yes	urinary bladder cancer; bladder carcinoma; bladder disease	Bladder-related	-0.0661466535405732	0.327532013446311	-0.394951137332087	-0.424766181781431	0.602153384100642	0.00262096288346501
PTPRC	ENSG00000262418	protein tyrosine phosphatase receptor type C	1	246	0.52	1.03	4.6e-23	stromal_cells	NA	NA	NA	no	Not annotated	Not annotated	-0.591147454929407	0.229326866183396	0.26474572879059	-0.135265687433056	0.437337974174791	0.00292407845102996
SOCS1	ENSG00000185338	suppressor of cytokine signaling 1	1	136	0.3	1.18	2.3e-26	uro_cells	NA	NA	NA	yes	urinary bladder cancer	Bladder-related	-0.639642113514464	0.106775255233023	-0.0606662810811321	0.11927618317009	0.54460580362066	0.00245784811806115
SOCS3	ENSG00000184557	suppressor of cytokine signaling 3	1	168	0.38	1.54	7.7e-50	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.73329978610698	0.397749658387376	-0.0347292725557058	0.0757629498093218	0.810446862350402	0.00146365318602476
STAT1	ENSG00000115415	signal transducer and activator of transcription 1	1	220	0.48	1.32	3.3e-17	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.348361442571398	0.534370007580344	-0.598305515760312	-0.0951044234912255	0.724468249784553	0.002707168410414
STAT3	ENSG00000168610	signal transducer and activator of transcription 3	1	416	0.82	1.27	7.8e-17	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.234015501574675	0.471420900946776	-0.594341514416131	-0.475478204295732	0.677675075346706	0.00577333272893441
STAT6	ENSG00000166888	signal transducer and activator of transcription 6	1	112	0.25	1.34	7.5e-47	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.572597030162246	0.361479115457762	0.213127735865407	-0.76503098698076	-0.332640872411629	0.001176719487671
TLR2	ENSG00000137462	toll like receptor 2	1	146	0.32	1.43	1.5e-23	stromal_cells	NA	NA	NA	review	urinary bladder cancer	Bladder-related	-0.175997145025792	0.48065954960567	-0.400955472605537	-0.591104278336409	0.838276693166875	0.00128924386762146
TLR4	ENSG00000136869	toll like receptor 4	1	218	0.46	1.37	1.5e-37	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.544299377565563	0.151974715507488	-0.554023693339199	-0.824937708149407	-0.51412394138716	0.00170462673214061
TNF	ENSG00000228978	tumor necrosis factor	1	336	0.68	1.13	3.6e-24	stromal_cells	NA	NA	NA	review	bladder disease	Bladder-related	-0.601204921117112	0.153878528776996	0.317204435267842	-0.0100950920938052	0.532645556120041	0.00331457550856355
TNFRSF1A	ENSG00000067182	TNF receptor superfamily member 1A	1	138	0.3	1.05	2.9e-12	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.106371114825801	0.542993836087833	-0.299799185326195	-0.50724527354235	0.351131240759434	0.00128072038025218
TRAF6	ENSG00000175104	TNF receptor associated factor 6	1	162	0.35	1.2	1.8e-22	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	0.486205472112672	-0.0255137173826963	-0.187272377875005	-0.710152965815371	-0.216744915986455	0.0014504022586054
ZAP70	ENSG00000291603	zeta chain of T cell receptor associated protein kinase 70	1	120	0.25	1.11	6.1e-23	stromal_cells	NA	NA	NA	no	Not annotated	Not annotated	-0.606357386274036	0.197960822157116	0.500200260862751	-0.0532458478117536	0.202812989925264	0.00135764507664668
ANGPT1	ENSG00000154188	angiopoietin 1	2	134	0.31	1.04	4.7e-18	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.513201413378876	-0.276162814258895	0.226311297960211	-0.0120925602884658	0.528137639885193	0.00448224906110998
AREG	ENSG00000109321	amphiregulin	2	124	0.28	1.42	4.1e-22	ambiguous	NA	NA	NA	review	urinary bladder cancer	Bladder-related	-0.417823032095424	-0.0878921727203617	-0.507737036911336	0.245058796748284	0.908789510826249	0.00451188484623791
EPHA2	ENSG00000142627	EPH receptor A2	2	134	0.29	1.19	2e-14	ambiguous	NA	NA	NA	review	urinary bladder cancer; bladder carcinoma	Bladder-related	0.233996474053672	0.549199435637814	-0.636974186070886	-0.349661755517541	0.553504712771056	0.0027474777737701
EREG	ENSG00000124882	epiregulin	2	108	0.24	1.58	3.1e-34	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.441860842805874	-0.184799238748175	-0.420319377427017	0.308662005880851	1.14171740694666	0.0044753392977925
FGFR1	ENSG00000077782	fibroblast growth factor receptor 1	2	194	0.4	1.27	4e-15	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.542115720437573	-0.287261722926173	0.727077125141016	-0.0611061790773776	0.00647050893499152	0.00438814925023551
FGFR3	ENSG00000068078	fibroblast growth factor receptor 3	2	172	0.36	1.28	1.9e-37	uro_cells	NA	NA	NA	yes	urinary bladder cancer; bladder carcinoma	Bladder-related	0.641993953326258	0.448075157712112	0.162745486928711	-0.637285490195931	-0.328982652320248	0.00223229840474311
FGFR4	ENSG00000160867	fibroblast growth factor receptor 4	2	128	0.27	1.03	2.3e-06	uro_cells	NA	NA	NA	yes	Not annotated	Not annotated	-0.351237821703908	-0.26947843036172	0.676757521294621	0.0350838070780866	-0.11255829307625	0.00198475738708896
