gene_symbol	ensembl_gene_id	description	module	degree	hub_score	rwr_score	max_diff	padj	protein_atlas	receptor	uro_receptor	keep	go_bladder_disease	go_urinary_bladder_cancer	go_bladder_carcinoma	go_count	go_condensed	mean_expr_UroA	mean_expr_UroB	mean_expr_UroC	mean_expr_GU	mean_expr_BaSq	scRNA_normal_class	scRNA_normal_conf_score	scRNA_normal_conf_level	scRNA_cancer_class	scRNA_cancer_conf_score	scRNA_cancer_conf_level
FAS	ENSG00000026103	Fas cell surface death receptor	1	112	0.25	0.0012	1.1	4.70E-11	ambiguous	NA	NA	review	no	no	no	0	yes	-0.238	0.012	-0.4	-0.393	0.696	non_urothelial	3.48	Medium	non_urothelial	3.97	Medium
PRLR	ENSG00000113494	prolactin receptor	1	76	0.16	0.00142	1.27	3.50E-29	ambiguous	NA	NA	review	no	no	no	0	no	-0.349	-0.328	0.326	0.842	-0.425	non_urothelial	3.99	High	non_urothelial	3.99	High
AREG	ENSG00000109321	amphiregulin	2	124	0.28	0.00451	1.42	4.10E-22	ambiguous	NA	NA	review	no	yes	no	1	yes	-0.418	-0.088	-0.508	0.245	0.909	uro_cells	1.97	High	uro_cells	1.27	Medium
EPHA2	ENSG00000142627	EPH receptor A2	2	134	0.29	0.00275	1.19	2.00E-14	ambiguous	NA	NA	review	no	yes	yes	2	yes	0.234	0.549	-0.637	-0.35	0.554	uro_cells	1.40	Medium	uro_cells	1.24	Medium
VEGFC	ENSG00000150630	vascular endothelial growth factor C	2	114	0.27	0.00437	1.29	3.60E-23	ambiguous	NA	NA	review	no	yes	yes	2	yes	-0.518	-0.123	0.11	0.153	0.774	non_urothelial	3.86	Medium	non_urothelial	3.76	Medium
MMP9	ENSG00000100985	matrix metallopeptidase 9	5	246	0.55	0.00294	1.13	2.10E-32	ambiguous	NA	NA	review	no	yes	no	1	yes	-0.654	0.233	-0.038	0.081	0.48	non_urothelial	3.95	High	non_urothelial	3.99	High
PPP2R1A	ENSG00000105568	protein phosphatase 2 scaffold subunit Aalpha	3	120	0.25	0.00136	1.12	1.20E-09	bladder_related	NA	NA	yes	no	no	no	0	no	0.354	-0.047	0.427	-0.002	-0.691	uro_cells	1.31	Low	uro_cells	2.79	High
SNCA	ENSG00000145335	synuclein alpha	3	90	0.2	0.00117	1.09	2.70E-16	bladder_related	NA	NA	yes	no	no	no	0	no	-0.528	0.021	0.228	-0.109	0.562	non_urothelial	3.73	Medium	non_urothelial	4.00	High
ANXA5	ENSG00000164111	annexin A5	4	220	0.49	0.00282	1.38	5.30E-24	bladder_related	NA	NA	yes	no	no	no	0	no	-0.558	0.08	-0.022	-0.22	0.823	uro_cells	1.55	Medium	uro_cells	1.68	Medium
BMP2	ENSG00000125845	bone morphogenetic protein 2	5	94	0.21	0.00125	1.06	4.10E-25	bladder_related	NA	NA	review	no	no	no	0	no	0.581	-0.317	0.32	-0.438	-0.483	uro_cells	1.25	Low	non_urothelial	3.84	Medium
NES	ENSG00000132688	nestin	5	104	0.24	0.00125	1.2	1.50E-13	bladder_related	NA	NA	review	no	no	no	0	no	-0.495	-0.342	0.707	0.058	0.155	non_urothelial	3.86	Medium	non_urothelial	3.99	High
IFNG	ENSG00000111537	interferon gamma	1	188	0.41	0.0015	1.27	4.90E-21	ligand	-	-	review	no	yes	no	1	yes	-0.493	0.086	-0.2	0.174	0.772	non_urothelial	3.97	High	non_urothelial	4.00	High
IL10	ENSG00000136634	interleukin 10	1	226	0.48	0.00166	1.28	3.90E-31	ligand	-	-	review	no	no	no	0	no	-0.578	0.111	-0.406	0.024	0.7	non_urothelial	3.93	High	non_urothelial	4.00	High
ARRB1	ENSG00000137486	arrestin beta 1	3	102	0.21	0.00124	1.24	2.00E-26	ligand	-	-	review	no	no	no	0	no	-0.362	-0.437	0.506	0.771	-0.468	non_urothelial	3.84	Medium	uro_cells	0.93	Low
ARRB2	ENSG00000141480	arrestin beta 2	3	106	0.2	0.00126	1.21	1.80E-42	ligand	-	-	review	no	no	no	0	no	-0.754	0.017	-0.049	0.443	0.454	non_urothelial	3.72	Medium	non_urothelial	3.69	Low
SHH	ENSG00000164690	sonic hedgehog signaling molecule	5	136	0.29	0.00259	1.36	1.30E-38	ligand	-	-	review	no	no	no	0	no	0.556	0.332	0.202	-0.805	-0.527	non_urothelial	1.95	Low	non_urothelial	3.99	High
TGFB1	ENSG00000105329	transforming growth factor beta 1	5	190	0.43	0.00264	1.39	3.20E-20	ligand	-	-	no	no	yes	yes	2	yes	0.063	0.157	-0.307	-0.836	0.557	uro_cells	1.28	Low	non_urothelial	3.64	Low
WNT5A	ENSG00000114251	Wnt family member 5A	5	88	0.18	0.00229	1.1	4.40E-11	ligand	-	-	review	no	no	no	0	no	0.054	0.467	0.103	-0.63	0.144	non_urothelial	3.82	Medium	non_urothelial	3.91	Medium
CSF1	ENSG00000184371	colony stimulating factor 1	1	152	0.34	0.00445	1.26	1.20E-31	missing	NA	NA	review	yes	no	no	1	yes	-0.617	0.221	0.076	-0.28	0.64	non_urothelial	3.64	Medium	non_urothelial	3.92	Medium
CXCL8	ENSG00000169429	C-X-C motif chemokine ligand 8	1	248	0.53	0.00287	1.56	2.20E-40	missing	NA	NA	no	no	yes	yes	2	yes	-0.554	0.576	-0.556	0.093	1.009	uro_cells	2.21	High	non_urothelial	4.00	High
CXCR4	ENSG00000121966	C-X-C motif chemokine receptor 4	1	234	0.51	0.00288	1.13	1.80E-33	missing	NA	NA	review	no	yes	yes	2	yes	-0.683	0.069	0.232	0.016	0.45	non_urothelial	3.52	Medium	non_urothelial	3.89	Medium
IL1B	ENSG00000125538	interleukin 1 beta	1	278	0.59	0.00299	1.19	2.60E-18	missing	NA	NA	review	yes	yes	no	2	yes	-0.464	0.217	0.136	0.075	0.724	uro_cells	0.99	Low	uro_cells	1.53	Medium
HBEGF	ENSG00000113070	heparin binding EGF like growth factor	2	134	0.32	0.00455	1.5	1.90E-29	missing	NA	NA	review	yes	no	no	1	yes	-0.411	0.348	-0.238	-0.16	1.092	uro_cells	1.42	Medium	non_urothelial	3.22	Low
CD247	ENSG00000198821	CD247 molecule	1	92	0.2	0.00226	1.08	6.90E-27	non_urothelial	NA	NA	no	no	no	no	0	no	-0.648	0.17	0.43	0.039	0.373	non_urothelial	3.95	High	non_urothelial	3.98	High
CD34	ENSG00000174059	CD34 molecule	1	206	0.45	0.00278	1.09	2.00E-08	non_urothelial	NA	NA	no	no	no	no	0	no	-0.433	-0.086	0.66	-0.034	-0.083	non_urothelial	3.41	Medium	non_urothelial	3.94	Medium
CD8A	ENSG00000153563	CD8 subunit alpha	1	216	0.48	0.00279	1.09	4.10E-17	non_urothelial	NA	NA	no	no	no	no	0	no	-0.533	0.034	0.191	-0.079	0.552	non_urothelial	3.94	High	non_urothelial	4.00	High
CSF2	ENSG00000164400	colony stimulating factor 2	1	212	0.48	0.00274	1.17	3.90E-18	non_urothelial	NA	NA	review	yes	no	no	1	yes	-0.411	0.169	-0.25	0.086	0.755	non_urothelial	3.90	High	non_urothelial	4.00	High
CSF3	ENSG00000108342	colony stimulating factor 3	1	144	0.32	0.00133	1.22	1.90E-25	non_urothelial	NA	NA	review	yes	no	no	1	yes	-0.398	0.094	-0.372	-0.158	0.821	non_urothelial	3.74	Medium	non_urothelial	3.97	Medium
ICAM1	ENSG00000090339	intercellular adhesion molecule 1	1	204	0.45	0.00161	1.54	2.50E-46	non_urothelial	NA	NA	no	no	yes	no	1	yes	-0.74	0.276	-0.093	0.217	0.802	non_urothelial	2.69	Low	uro_cells	0.63	Low
IL15	ENSG00000164136	interleukin 15	1	124	0.26	0.00124	1.32	5.60E-22	non_urothelial	NA	NA	review	no	no	no	0	no	-0.461	0.178	-0.295	-0.179	0.863	non_urothelial	3.88	Medium	non_urothelial	3.87	Medium
IL6	ENSG00000136244	interleukin 6	1	356	0.72	0.00351	1.36	1.40E-33	non_urothelial	NA	NA	review	yes	no	no	1	yes	-0.544	-0.054	-0.137	-0.015	0.818	non_urothelial	3.64	Medium	non_urothelial	3.97	Medium
IL7	ENSG00000104432	interleukin 7	1	140	0.3	0.00132	1.04	4.90E-11	non_urothelial	NA	NA	review	no	no	no	0	no	0.029	0.276	-0.171	-0.659	0.381	non_urothelial	3.93	High	non_urothelial	3.99	High
PTPRC	ENSG00000262418	protein tyrosine phosphatase receptor type C	1	246	0.52	0.00292	1.03	4.60E-23	non_urothelial	NA	NA	no	no	no	no	0	no	-0.591	0.229	0.265	-0.135	0.437	non_urothelial	3.63	Medium	non_urothelial	4.00	High
TLR2	ENSG00000137462	toll like receptor 2	1	146	0.32	0.00129	1.43	1.50E-23	non_urothelial	NA	NA	review	no	yes	no	1	yes	-0.176	0.481	-0.401	-0.591	0.838	non_urothelial	3.93	High	non_urothelial	4.00	High
TNF	ENSG00000228978	tumor necrosis factor	1	336	0.68	0.00331	1.13	3.60E-24	non_urothelial	NA	NA	review	yes	no	no	1	yes	-0.601	0.154	0.317	-0.01	0.533	non_urothelial	3.93	High	non_urothelial	3.97	Medium
ZAP70	ENSG00000291603	zeta chain of T cell receptor associated protein kinase 70	1	120	0.25	0.00136	1.11	6.10E-23	non_urothelial	NA	NA	no	no	no	no	0	no	-0.606	0.198	0.5	-0.053	0.203	non_urothelial	3.98	High	non_urothelial	4.00	High
PDGFRB	ENSG00000113721	platelet derived growth factor receptor beta	2	238	0.5	0.00319	1.2	2.50E-34	non_urothelial	NA	NA	no	no	no	no	0	no	-0.638	-0.329	0.531	0.051	0.559	non_urothelial	3.71	Medium	non_urothelial	3.98	Medium
ITGB2	ENSG00000160255	integrin subunit beta 2	3	94	0.19	0.00118	1.26	1.30E-35	non_urothelial	NA	NA	no	no	no	no	0	no	-0.679	0.211	0.254	-0.073	0.584	non_urothelial	3.73	Medium	non_urothelial	3.96	Medium
PLEK	ENSG00000115956	pleckstrin	3	86	0.2	0.00118	1.36	8.40E-44	non_urothelial	NA	NA	no	no	no	no	0	no	-0.726	0.196	0.26	0.012	0.638	non_urothelial	3.79	Medium	non_urothelial	3.96	Medium
CAV1	ENSG00000105974	caveolin 1	5	210	0.45	0.00285	1.52	1.20E-33	non_urothelial	NA	NA	no	no	yes	yes	2	yes	-0.479	-0.408	0.472	-0.162	1.04	uro_cells	1.14	Low	uro_cells	3.29	High
FN1	ENSG00000115414	fibronectin 1	5	348	0.69	0.00562	1.23	1.60E-24	non_urothelial	NA	NA	no	no	yes	no	1	yes	-0.553	-0.405	0.259	0.127	0.681	uro_cells	1.03	Low	uro_cells	3.14	High
