gene	module	in_signature_module
SRC	3	TRUE
CTNNB1	4	FALSE
TP53	4	FALSE
MAPK3	4	FALSE
STAT3	1	FALSE
FN1	5	FALSE
IL6	1	FALSE
TNF	1	FALSE
CD44	5	FALSE
PDGFRB	2	TRUE
CCND1	4	FALSE
HIF1A	4	FALSE
JAK2	1	FALSE
RPS27A	2	TRUE
IL1B	1	FALSE
NRAS	2	TRUE
CXCL8	1	FALSE
PTPRC	1	FALSE
CDKN2A	4	FALSE
STAT1	1	FALSE
MMP9	5	FALSE
IRS1	2	TRUE
PTK2	3	TRUE
FGFR1	2	TRUE
CD8A	1	FALSE
CAV1	5	FALSE
IL10	1	FALSE
LYN	3	TRUE
TLR4	1	FALSE
SMAD3	4	FALSE
CXCR4	1	FALSE
PIK3R2	2	TRUE
FGFR3	2	TRUE
CD34	1	FALSE
CSF2	1	FALSE
BRCA1	4	FALSE
ANXA5	4	FALSE
PXN	3	TRUE
HSPA4	4	FALSE
ICAM1	1	FALSE
PPARG	4	FALSE
NGFR	2	TRUE
IFNG	1	FALSE
TGFB1	5	FALSE
SOCS3	1	FALSE
CCL2	1	FALSE
PIK3CD	2	TRUE
EPHA2	2	TRUE
FGFR4	2	TRUE
HBEGF	2	TRUE
SHH	5	FALSE
CREB1	4	FALSE
PTGS2	1	FALSE
SNAI1	5	FALSE
CDKN1A	4	FALSE
TRAF6	1	FALSE
POU5F1	5	FALSE
PGR	4	FALSE
ARRB1	3	TRUE
SOCS1	1	FALSE
TLR2	1	FALSE
EZH2	4	FALSE
AREG	2	TRUE
SOX9	5	FALSE
FOXO1	4	FALSE
NCK1	3	TRUE
CSF3	1	FALSE
BMP4	5	FALSE
EREG	2	TRUE
ARRB2	3	TRUE
PIK3CG	2	TRUE
RAC2	3	TRUE
CD274	1	FALSE
CASP8	4	FALSE
HSPA5	4	FALSE
PRKCZ	2	TRUE
GATA3	1	FALSE
SNAI2	5	FALSE
PPP2CA	3	TRUE
NR3C1	4	FALSE
TNFRSF1A	1	FALSE
CCNB1	4	FALSE
PPP2R1A	3	TRUE
ZAP70	1	FALSE
EPCAM	5	FALSE
CSF1	1	FALSE
SPP1	5	FALSE
ANGPT1	2	TRUE
IL7	1	FALSE
PRLR	1	FALSE
TIMP1	5	FALSE
RB1	4	FALSE
CCNA2	4	FALSE
PTK2B	3	TRUE
AKT3	4	FALSE
CASP9	4	FALSE
IL15	1	FALSE
MMP3	5	FALSE
CTTN	3	TRUE
GAB2	2	TRUE
WNT5A	5	FALSE
NPM1	4	FALSE
NES	5	FALSE
MCL1	4	FALSE
BMP2	5	FALSE
SNCA	3	TRUE
CD247	1	FALSE
DNM2	3	TRUE
PLEK	3	TRUE
STAT6	1	FALSE
MKI67	5	FALSE
VEGFC	2	TRUE
FAS	1	FALSE
CTNND1	3	TRUE
SERPINE1	5	FALSE
MAPT	3	TRUE
ANXA2	5	FALSE
ITGB2	3	TRUE
