gene_symbol	module	in_signature_module	ensembl_gene_id	description	gene_biotype	degree	hub_score	padj	max_diff
SRC	3	TRUE	ENSG00000291971	SRC proto-oncogene, non-receptor tyrosine kinase	protein_coding	470	0.875682181405614	7.54281848117074e-18	1.23652717583008
CTNNB1	4	FALSE	ENSG00000168036	catenin beta 1	protein_coding	446	0.832464453964681	8.62581233149994e-22	1.02968483976577
TP53	4	FALSE	ENSG00000141510	tumor protein p53	protein_coding	430	0.832014389853007	2.63167679469219e-25	1.37987372110314
MAPK3	4	FALSE	ENSG00000102882	mitogen-activated protein kinase 3	protein_coding	416	0.798164152237351	1.45412038933628e-16	1.05588319475594
STAT3	1	FALSE	ENSG00000168610	signal transducer and activator of transcription 3	protein_coding	416	0.822517287300537	7.8492660123454e-17	1.27201658976284
FN1	5	FALSE	ENSG00000115414	fibronectin 1	protein_coding	348	0.688137907020088	1.61672420998669e-24	1.23416774434986
IL6	1	FALSE	ENSG00000136244	interleukin 6	protein_coding	356	0.720830063937756	1.36416269805138e-33	1.36233757490606
TNF	1	FALSE	ENSG00000228978	tumor necrosis factor	protein_coding	336	0.683401576192443	3.634494978399e-24	1.13385047723715
CD44	5	FALSE	ENSG00000026508	CD44 molecule (IN blood group)	protein_coding	288	0.600845684751404	5.73859047203047e-48	2.12118171249891
PDGFRB	2	TRUE	ENSG00000113721	platelet derived growth factor receptor beta	protein_coding	238	0.499720007268134	2.53373874870815e-34	1.19707273180768
CCND1	4	FALSE	ENSG00000110092	cyclin D1	protein_coding	306	0.622749372195832	3.45149702846458e-39	1.44118471361853
HIF1A	4	FALSE	ENSG00000100644	hypoxia inducible factor 1 subunit alpha	protein_coding	296	0.61347633207466	5.20148049469033e-25	1.5823184185535
JAK2	1	FALSE	ENSG00000096968	Janus kinase 2	protein_coding	280	0.597337794884638	1.74380789452461e-11	1.10193485954107
RPS27A	2	TRUE	ENSG00000143947	ribosomal protein S27a	protein_coding	196	0.377234121746249	4.15521861446401e-14	1.01772263255799
IL1B	1	FALSE	ENSG00000125538	interleukin 1 beta	protein_coding	278	0.592990175150191	2.57817602781707e-18	1.18794094084842
NRAS	2	TRUE	ENSG00000213281	NRAS proto-oncogene, GTPase	protein_coding	246	0.490272305317621	1.02838728758269e-11	1.19150393191718
CXCL8	1	FALSE	ENSG00000169429	C-X-C motif chemokine ligand 8	protein_coding	248	0.531616520220521	2.21426861102689e-40	1.56417481176392
PTPRC	1	FALSE	ENSG00000262418	protein tyrosine phosphatase receptor type C	protein_coding	246	0.524352859261367	4.63604842126661e-23	1.0284854291042
CDKN2A	4	FALSE	ENSG00000147889	cyclin dependent kinase inhibitor 2A	protein_coding	222	0.495813209357435	8.23424129466737e-23	1.24052522414622
STAT1	1	FALSE	ENSG00000115415	signal transducer and activator of transcription 1	protein_coding	220	0.477635186665913	3.3075204391917e-17	1.32277376554487
MMP9	5	FALSE	ENSG00000100985	matrix metallopeptidase 9	protein_coding	246	0.545672718314599	2.05148959786953e-32	1.13388763198443
