source,target,combined_score
TNFRSF1A,TIMP1,950
TNFRSF1A,TIMP1,950
TIMP1,TGFB1,873
TIMP1,TGFB1,873
NGFR,PIK3R2,800
NGFR,PIK3R2,800
TIMP1,SERPINE1,773
TIMP1,SERPINE1,773
TGFB1,SERPINE1,745
TGFB1,SERPINE1,745
TNFRSF1A,CSF3,503
TNFRSF1A,CSF3,503
TIMP1,CSF3,512
TIMP1,CSF3,512
TNFRSF1A,CCL2,630
TNFRSF1A,CCL2,630
TIMP1,CCL2,745
TIMP1,CCL2,745
TGFB1,CCL2,655
TGFB1,CCL2,655
SERPINE1,CCL2,762
SERPINE1,CCL2,762
CSF3,CCL2,984
CSF3,CCL2,984
TGFB1,CCND1,544
TGFB1,CCND1,544
TNFRSF1A,IFNG,592
TNFRSF1A,IFNG,592
TIMP1,IFNG,526
TIMP1,IFNG,526
TGFB1,IFNG,780
TGFB1,IFNG,780
CSF3,IFNG,770
CSF3,IFNG,770
CCL2,IFNG,839
CCL2,IFNG,839
TGFB1,SNAI1,673
TGFB1,SNAI1,673
SERPINE1,SNAI1,557
SERPINE1,SNAI1,557
CCL2,SNAI1,629
CCL2,SNAI1,629
CCND1,SNAI1,689
CCND1,SNAI1,689
NGFR,EREG,622
NGFR,EREG,622
HBEGF,EREG,891
HBEGF,EREG,891
CCND1,BMP4,502
CCND1,BMP4,502
SNAI1,BMP4,505
SNAI1,BMP4,505
TGFB1,SOX9,529
TGFB1,SOX9,529
CCND1,SOX9,610
CCND1,SOX9,610
SNAI1,SOX9,635
SNAI1,SOX9,635
BMP4,SOX9,758
BMP4,SOX9,758
PIK3R2,RAC2,670
PIK3R2,RAC2,670
PLEK,RAC2,747
PLEK,RAC2,747
CCND1,CCNB1,937
CCND1,CCNB1,937
CCND1,POU5F1,595
CCND1,POU5F1,595
SNAI1,POU5F1,713
SNAI1,POU5F1,713
BMP4,POU5F1,747
BMP4,POU5F1,747
SOX9,POU5F1,782
SOX9,POU5F1,782
TNFRSF1A,TLR2,645
TNFRSF1A,TLR2,645
TGFB1,TLR2,523
TGFB1,TLR2,523
CSF3,TLR2,581
CSF3,TLR2,581
CCL2,TLR2,776
CCL2,TLR2,776
IFNG,TLR2,785
IFNG,TLR2,785
PIK3R2,PDGFRB,928
PIK3R2,PDGFRB,928
CSF3,PDGFRB,705
CSF3,PDGFRB,705
IFNG,PDGFRB,724
IFNG,PDGFRB,724
EREG,PDGFRB,658
EREG,PDGFRB,658
TNFRSF1A,MAPK3,550
TNFRSF1A,MAPK3,550
