source,target,combined_score
CD4,TNFRSF1A,697
CD4,TNFRSF1A,697
FGF4,NGFR,659
FGF4,NGFR,659
TNFRSF1A,MAPK1,651
TNFRSF1A,MAPK1,651
FGF4,MAPK1,919
FGF4,MAPK1,919
VCL,MAPK1,846
VCL,MAPK1,846
CD4,NFKBIA,585
CD4,NFKBIA,585
TNFRSF1A,NFKBIA,974
TNFRSF1A,NFKBIA,974
NGFR,NFKBIA,917
NGFR,NFKBIA,917
MAPK1,NFKBIA,949
MAPK1,NFKBIA,949
TNFRSF1A,TIMP1,950
TNFRSF1A,TIMP1,950
NFKBIA,MMP2,517
NFKBIA,MMP2,517
TIMP1,MMP2,999
TIMP1,MMP2,999
CD4,CSK,936
CD4,CSK,936
VCL,CSK,946
VCL,CSK,946
MAPK1,CSK,720
MAPK1,CSK,720
CD4,TGFB1,727
CD4,TGFB1,727
MAPK1,TGFB1,937
MAPK1,TGFB1,937
TIMP1,TGFB1,873
TIMP1,TGFB1,873
MMP2,TGFB1,988
MMP2,TGFB1,988
GNA11,PIK3R2,663
GNA11,PIK3R2,663
FGF4,PIK3R2,507
FGF4,PIK3R2,507
NGFR,PIK3R2,800
NGFR,PIK3R2,800
CD4,HGF,505
CD4,HGF,505
FGF4,HGF,755
FGF4,HGF,755
NGFR,HGF,723
NGFR,HGF,723
MAPK1,HGF,928
MAPK1,HGF,928
TIMP1,HGF,797
TIMP1,HGF,797
MMP2,HGF,961
MMP2,HGF,961
TGFB1,HGF,837
TGFB1,HGF,837
PIK3R2,HGF,533
PIK3R2,HGF,533
TIMP1,SERPINE1,773
TIMP1,SERPINE1,773
MMP2,SERPINE1,729
MMP2,SERPINE1,729
TGFB1,SERPINE1,745
TGFB1,SERPINE1,745
HGF,SERPINE1,607
HGF,SERPINE1,607
CD4,CSF3,710
CD4,CSF3,710
TNFRSF1A,CSF3,503
TNFRSF1A,CSF3,503
TIMP1,CSF3,512
TIMP1,CSF3,512
EPOR,CSF3,777
EPOR,CSF3,777
HGF,CSF3,660
HGF,CSF3,660
CD4,CCL2,816
CD4,CCL2,816
TNFRSF1A,CCL2,630
TNFRSF1A,CCL2,630
NFKBIA,CCL2,709
NFKBIA,CCL2,709
TIMP1,CCL2,745
TIMP1,CCL2,745
MMP2,CCL2,706
MMP2,CCL2,706
TGFB1,CCL2,655
TGFB1,CCL2,655
HGF,CCL2,666
HGF,CCL2,666
SERPINE1,CCL2,762
SERPINE1,CCL2,762
CSF3,CCL2,984
CSF3,CCL2,984
CD4,IL2,918
CD4,IL2,918
TNFRSF1A,IL2,612
TNFRSF1A,IL2,612
MAPK1,IL2,931
MAPK1,IL2,931
NFKBIA,IL2,559
NFKBIA,IL2,559
TGFB1,IL2,694
TGFB1,IL2,694
EPOR,IL2,712
EPOR,IL2,712
PIK3R2,IL2,556
PIK3R2,IL2,556
HGF,IL2,502
HGF,IL2,502
CSF3,IL2,807
CSF3,IL2,807
CCL2,IL2,810
CCL2,IL2,810
CD4,CCND1,571
CD4,CCND1,571
FGF4,CCND1,507
FGF4,CCND1,507
MAPK1,CCND1,649
MAPK1,CCND1,649
NFKBIA,CCND1,635
NFKBIA,CCND1,635
MMP2,CCND1,725
MMP2,CCND1,725
TGFB1,CCND1,544
TGFB1,CCND1,544
HGF,CCND1,565
HGF,CCND1,565
MAPK1,CDKN1B,933
MAPK1,CDKN1B,933
CCND1,CDKN1B,999
CCND1,CDKN1B,999
CD4,IFNG,941
CD4,IFNG,941
TNFRSF1A,IFNG,592
TNFRSF1A,IFNG,592
NFKBIA,IFNG,585
NFKBIA,IFNG,585
TIMP1,IFNG,526
TIMP1,IFNG,526
TGFB1,IFNG,780
TGFB1,IFNG,780
EPOR,IFNG,663
EPOR,IFNG,663
HGF,IFNG,522
HGF,IFNG,522
CSF3,IFNG,770
CSF3,IFNG,770
CCL2,IFNG,839
CCL2,IFNG,839
IL2,IFNG,907
IL2,IFNG,907
CD4,GAPDH,736
CD4,GAPDH,736
TNFRSF1A,GAPDH,530
TNFRSF1A,GAPDH,530
VCL,GAPDH,694
VCL,GAPDH,694
MAPK1,GAPDH,640
MAPK1,GAPDH,640
NFKBIA,GAPDH,755
NFKBIA,GAPDH,755
TIMP1,GAPDH,652
TIMP1,GAPDH,652
