name,padj,protein_atlas,keep,go_bladder_disease,go_urinary_bladder_cancer,go_bladder_carcinoma,go_count,go_condensed,scRNA_normal_class,scRNA_cancer_class,scRNA_cancer_conf_level,scRNA_normal_conf_level,degree.x,hub_score,betweenness.x,closeness.x,eigenvector.x,community,module,in_signature_module,expression,go_bladder_score,classification_agreement,combined_confidence,protein_atlas_category,keep_numeric
AKT3,5.6e-18,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Low,Medium,116,0.263075759622097,24.3196002190085,0.00183150183150183,0.263075759622097,3,4,FALSE,0.425665410337283,0,Consistent,Medium_Low,Urothelial,0
ANGPT1,4.7e-18,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Medium,High,134,0.307987805078063,29.4736429799456,0.00186219739292365,0.307987805078063,2,2,TRUE,0.226311297960211,0,Consistent,High_Medium,Urothelial,0
ANXA2,5e-34,uro_cells,yes,no,no,no,0,no,uro_cells,uro_cells,High,High,76,0.187483308201537,10.8847323228226,0.00176678445229682,0.187483308201537,4,5,FALSE,-0.518560262552585,0,Consistent,High_High,Urothelial,0
ANXA5,5.3e-24,bladder_related,yes,no,no,no,0,no,uro_cells,uro_cells,Medium,Medium,220,0.489636930816466,108.858058621306,0.00202429149797571,0.489636930816465,1,4,FALSE,-0.021537613842872,0,Consistent,Medium_Medium,Other,0
AREG,4.1e-22,ambiguous,review,no,yes,no,1,yes,uro_cells,uro_cells,Medium,High,124,0.278756063671114,34.0670384723997,0.0018450184501845,0.278756063671113,2,2,TRUE,-0.507737036911336,2,Consistent,High_Medium,Ambiguous,2
ARRB1,2e-26,ligand,review,no,no,no,0,no,non_urothelial,uro_cells,Low,Medium,102,0.21053616965232,33.4826106250879,0.00180831826401447,0.21053616965232,3,3,TRUE,0.506420833354666,0,Inconsistent,Medium_Low,Other,2
ARRB2,1.8e-42,ligand,review,no,no,no,0,no,non_urothelial,non_urothelial,Low,Medium,106,0.202122469747678,39.5079046684967,0.00181488203266788,0.202122469747678,3,3,TRUE,-0.0492283260128542,0,Consistent,Medium_Low,Other,2
BMP2,4.1e-25,bladder_related,review,no,no,no,0,no,uro_cells,non_urothelial,Medium,Low,94,0.212488292087937,14.7265546094586,0.00179533213644524,0.212488292087937,4,5,FALSE,0.319529283201999,0,Inconsistent,Low_Medium,Other,2
BMP4,1.9e-14,uro_cells,review,no,no,no,0,no,non_urothelial,non_urothelial,High,Medium,120,0.249527738426841,30.957504466139,0.00183823529411765,0.249527738426842,4,5,FALSE,0.85294181259252,0,Consistent,Medium_High,Urothelial,2
BRCA1,1.9e-31,uro_cells,yes,no,yes,no,1,yes,non_urothelial,non_urothelial,Low,High,156,0.335578734470801,49.0940340323397,0.00190114068441065,0.335578734470801,3,4,FALSE,-0.225447504451578,2,Consistent,High_Low,Urothelial,0
CASP8,1e-19,uro_cells,yes,no,no,no,0,no,non_urothelial,uro_cells,Medium,Medium,150,0.348066257809591,35.7940403699527,0.00189035916824197,0.348066257809591,3,4,FALSE,-0.137789373535615,0,Inconsistent,Medium_Medium,Urothelial,0
CASP9,2.4e-14,uro_cells,yes,no,yes,no,1,yes,non_urothelial,non_urothelial,Low,Medium,124,0.298052704785899,18.855486834328,0.0018450184501845,0.298052704785899,3,4,FALSE,0.0352138111392846,2,Consistent,Medium_Low,Urothelial,0
CAV1,1.2e-33,non_urothelial,no,no,yes,yes,2,yes,uro_cells,uro_cells,High,Low,210,0.452988068601958,130.153923624883,0.00200400801603206,0.452988068601958,4,5,FALSE,0.472416022367582,3,Consistent,Low_High,Non-urothelial,0
