"node_id","node_label","expression","degree","is_signature","betweenness","closeness","eigenvector","hub_score","authority_score","community","mean_expr_UroB","mean_expr_GU","mean_expr_UroA","mean_expr_BaSq","mean_expr_UroC","go_pval","go_padj","go_description","go_hub_score","go_rank","module","in_signature_module","random_walk_score"
"ABL1","ABL1",0.150560575465565,196,FALSE,124.130781118542,0.00197628458498024,0.395875247857624,0.395875247857624,0.395875247857624,3,-0.374494203088044,-0.0333902402727182,-0.28166580774152,-0.138129206725822,0.150560575465565,,,,,,,,
"AKT1","AKT1",-0.552459888144125,512,FALSE,1262.17183409095,0.0028735632183908,0.925091001044557,0.925091001044557,0.925091001044556,3,0.181696130422097,-0.151449500166701,0.174411066652517,-0.321541355651891,-0.552459888144125,,,,,,,,
"AKT2","AKT2",0.459008813404811,126,FALSE,28.6883452741395,0.00184842883548983,0.289297174841873,0.289297174841873,0.289297174841873,3,-0.0131015966879605,0.142818072817267,-0.214236903595266,-0.0222962752743306,0.459008813404811,,,,,,,,
"AKT3","AKT3",0.425665410337283,116,FALSE,24.3196002190085,0.00183150183150183,0.263075759622096,0.263075759622097,0.263075759622096,3,-0.281909538987868,0.191145627685025,-0.574673660767738,0.240285842371141,0.425665410337283,1.88273199363966e-20,5.62936866098257e-18,"Not annotated",0.263075759622097,87,4,FALSE,0.00256375792120466
"ALB","ALB",-0.114370712154074,352,FALSE,425.258825646112,0.00233644859813084,0.696087736201911,0.696087736201913,0.696087736201912,4,-0.140299389486687,0.136263506450673,-0.0968984524401894,-0.104528001928073,-0.114370712154074,,,,,,,,
"ALK","ALK",0.214577300760724,122,FALSE,27.5355694865145,0.00184162062615101,0.283871298677609,0.283871298677609,0.283871298677608,2,-0.164580221786753,0.122425098611138,-0.175711502437674,-0.0351374961109693,0.214577300760724,,,,,,,,
"ANGPT1","ANGPT1",0.226311297960211,134,FALSE,29.4736429799456,0.00186219739292365,0.307987805078063,0.307987805078063,0.307987805078062,2,-0.276162814258895,-0.0120925602884658,-0.513201413378876,0.528137639885193,0.226311297960211,1.58073833621798e-20,4.72640762529175e-18,"Not annotated",0.307987805078063,86,2,TRUE,0.00448224906110998
"ANXA2","ANXA2",-0.518560262552585,76,FALSE,10.8847323228226,0.00176678445229682,0.187483308201537,0.187483308201537,0.187483308201537,4,0.103722811792932,-0.282855198272609,-0.113443126691709,1.40973932903399,-0.518560262552585,1.66544102634868e-36,4.97966866878255e-34,"Not annotated",0.187483308201537,27,5,FALSE,0.0010927279159739
"ANXA5","ANXA5",-0.021537613842872,220,FALSE,108.858058621306,0.00202429149797571,0.489636930816466,0.489636930816466,0.489636930816465,1,0.0799863396696468,-0.220234202934947,-0.557612394677951,0.823196716318708,-0.021537613842872,1.78018867124109e-26,5.32276412701086e-24,"Not annotated",0.489636930816466,65,4,FALSE,0.00282304939351404
"APP","APP",0.292196418677547,136,FALSE,35.3715078060371,0.00186567164179104,0.31364281873726,0.31364281873726,0.31364281873726,3,0.0348659164916422,-0.0368457792403866,-0.160299639277987,0.104884594392345,0.292196418677547,,,,,,,,
"AR","AR",0.0699826742288547,162,FALSE,44.4317302201526,0.00191204588910134,0.367839513845227,0.367839513845227,0.367839513845227,3,0.308502068535862,-0.305557439404341,0.144548872574097,-0.544423560813544,0.0699826742288547,,,,,,,,
"AREG","AREG",-0.507737036911336,124,FALSE,34.0670384723997,0.0018450184501845,0.278756063671113,0.278756063671114,0.278756063671113,2,-0.0878921727203617,0.245058796748284,-0.417823032095424,0.908789510826249,-0.507737036911336,1.37007706504573e-24,4.09653042448672e-22,"urinary bladder cancer",0.278756063671114,74,2,TRUE,0.00451188484623791
"ARF6","ARF6",-0.325625736688785,86,FALSE,22.0065358254286,0.0017825311942959,0.175826201766405,0.175826201766405,0.175826201766405,2,-0.103538967375241,0.144883422986563,0.0827964375557636,0.315284556169945,-0.325625736688785,,,,,,,,
"ARRB1","ARRB1",0.506420833354666,102,FALSE,33.4826106250879,0.00180831826401447,0.21053616965232,0.21053616965232,0.21053616965232,3,-0.437162404973013,0.7710537720746,-0.362112246219475,-0.468045517450286,0.506420833354666,6.66757084290056e-29,1.99360368202727e-26,"Not annotated",0.21053616965232,48,3,TRUE,0.00123726621805389
"ARRB2","ARRB2",-0.0492283260128542,106,FALSE,39.5079046684967,0.00181488203266788,0.202122469747678,0.202122469747678,0.202122469747677,3,0.0168406402789404,0.442923677553975,-0.754321716742537,0.453527464857666,-0.0492283260128542,5.96468248261456e-45,1.78344006230175e-42,"Not annotated",0.202122469747678,13,3,TRUE,0.00126255142627471
"ATM","ATM",0.0875520104801618,152,FALSE,40.2595840506329,0.00189393939393939,0.334490548872296,0.334490548872296,0.334490548872295,3,-0.0845392927481853,-0.658939611282592,-0.00978716579493393,-0.044950524248068,0.0875520104801618,,,,,,,,
"AXIN1","AXIN1",-0.0692908999562402,80,FALSE,11.5857273674145,0.00177304964539007,0.178515305859781,0.178515305859781,0.178515305859781,3,0.0420319810261038,0.00301838731985194,0.0161470004805666,-0.239013577144698,-0.0692908999562402,,,,,,,,
"BCAR1","BCAR1",-0.515702256211744,124,FALSE,23.7772737624598,0.0018450184501845,0.276198376093157,0.276198376093157,0.276198376093157,2,0.439922699982601,-0.303678802353861,-0.058974789219937,0.445718275340751,-0.515702256211744,,,,,,,,
"BCL2L1","BCL2L1",0.0168309008217268,206,FALSE,80.8347283251702,0.00199600798403194,0.468101690170572,0.468101690170573,0.468101690170572,3,0.0121393021423089,0.649249460701319,-0.203449233338209,-0.0332192748633317,0.0168309008217268,,,,,,,,
"BCL2L11","BCL2L11",-0.350202329047806,134,FALSE,31.2537820287022,0.00186219739292365,0.3156441864864,0.3156441864864,0.3156441864864,3,-0.103932598776401,0.276534419948647,-0.192716063253472,0.0662618548026955,-0.350202329047806,,,,,,,,
"BDNF","BDNF",0.289615862903624,204,FALSE,95.087332487844,0.00199203187250996,0.461215669745869,0.46121566974587,0.461215669745869,2,-0.209576420875871,-0.149816063159772,-0.451946034203019,0.39929632402764,0.289615862903624,,,,,,,,
"BECN1","BECN1",-0.0727236091295393,114,FALSE,24.02778371082,0.00182815356489945,0.266025858983051,0.266025858983051,0.266025858983051,3,0.351309230393022,-0.227920624891982,0.45394860310766,-0.512810707089482,-0.0727236091295393,,,,,,,,
"BMP2","BMP2",0.319529283201999,94,FALSE,14.7265546094586,0.00179533213644524,0.212488292087937,0.212488292087937,0.212488292087937,4,-0.316999449262564,-0.438350282602445,0.581014357428114,-0.483372396559039,0.319529283201999,1.37290222510799e-27,4.10497765307288e-25,"Not annotated",0.212488292087937,58,5,FALSE,0.00125489917252425
"BMP4","BMP4",0.85294181259252,120,FALSE,30.957504466139,0.00183823529411765,0.249527738426841,0.249527738426841,0.249527738426841,4,-0.0150801648702108,0.102025107591292,-0.512424798030288,-0.0344710188700653,0.85294181259252,6.46874473425074e-17,1.93415467554097e-14,"Not annotated",0.249527738426841,100,5,FALSE,0.00138174036064962
"BRCA1","BRCA1",-0.225447504451578,156,FALSE,49.0940340323397,0.00190114068441065,0.335578734470801,0.335578734470801,0.335578734470801,3,-0.379688888986125,0.872071810525029,-0.409609044022065,0.417734668446921,-0.225447504451578,6.40444973970805e-34,1.91493047217271e-31,"urinary bladder cancer",0.335578734470801,35,4,FALSE,0.00266365051873552
"BTC","BTC",-0.00153636201704811,72,FALSE,4.84249277089806,0.00176056338028169,0.172997454438586,0.172997454438586,0.172997454438586,2,0.306647854090358,0.330434521883709,0.182667514675267,-0.653817043250759,-0.00153636201704811,,,,,,,,
"CASP3","CASP3",-0.465732840177219,318,FALSE,293.352959242982,0.00224719101123596,0.656854878809026,0.656854878809026,0.656854878809026,3,0.300755083185985,0.0829087491968644,0.186571581559473,-0.094408646962903,-0.465732840177219,,,,,,,,
"CASP8","CASP8",-0.137789373535615,150,FALSE,35.7940403699527,0.00189035916824197,0.348066257809591,0.348066257809591,0.348066257809591,3,0.435225369394378,-0.649951403104217,0.379136543090136,-0.255083555960751,-0.137789373535615,3.40928500155457e-22,1.01937621546482e-19,"Not annotated",0.348066257809591,82,4,FALSE,0.00246616347830713
"CASP9","CASP9",0.0352138111392846,124,FALSE,18.855486834328,0.0018450184501845,0.298052704785899,0.298052704785899,0.298052704785899,3,0.0342413509138135,0.337186337329925,0.272138060517716,-0.891658769471055,0.0352138111392846,8.05907432373464e-17,2.40966322279666e-14,"urinary bladder cancer",0.298052704785899,102,4,FALSE,0.00239311546006457
"CAV1","CAV1",0.472416022367582,210,FALSE,130.153923624883,0.00200400801603206,0.452988068601958,0.452988068601958,0.452988068601958,4,-0.408049341684502,-0.16156318448276,-0.478698665273285,1.0399832856752,0.472416022367582,3.86703594353998e-36,1.15624374711845e-33,"urinary bladder cancer; bladder carcinoma",0.452988068601958,28,5,FALSE,0.00284965974224701
"CBL","CBL",0.061180252182365,242,FALSE,177.986170222268,0.0020703933747412,0.480887255601666,0.480887255601666,0.480887255601666,2,-0.35877067090561,-0.32405878882747,-0.0129430032796583,-0.0326455695412523,0.061180252182365,,,,,,,,
"CCL2","CCL2",0.272847746067993,180,FALSE,49.8519551196934,0.00194552529182879,0.401672415238594,0.401672415238595,0.401672415238594,1,0.234646536973496,0.117892147045794,-0.763108901018797,0.712572067984171,0.272847746067993,1.48509439404472e-50,4.44043223819372e-48,"Not annotated",0.401672415238595,8,1,FALSE,0.00147282519703642
"CCN2","CCN2",0.364487147441015,128,FALSE,26.0947772976403,0.00185185185185185,0.295730986303241,0.295730986303241,0.295730986303241,4,-0.332127789095076,-0.0648712714161349,-0.451111637312722,0.528684823249796,0.364487147441015,,,,,,,,
"CCNA2","CCNA2",-0.439474649849291,108,FALSE,14.0307422616285,0.00181818181818182,0.239799097824334,0.239799097824334,0.239799097824333,3,-0.210992556313551,0.7955907960597,-0.424192124149493,0.647470592611836,-0.439474649849291,3.89860062164356e-34,1.16568158587142e-31,"Not annotated",0.239799097824334,33,4,FALSE,0.00237072101828717
