name,label,degree
ABL1,ABL1,1
AKT1,AKT1,1
AKT2,AKT2,1
AKT3,AKT3,1
ALB,ALB,1
ALK,ALK,1
ANGPT1,ANGPT1,1
ANXA2,ANXA2,1
ANXA5,ANXA5,1
APP,APP,1
AR,AR,1
AREG,AREG,1
ARF6,ARF6,1
ARRB1,ARRB1,1
ARRB2,ARRB2,1
ATM,ATM,1
AXIN1,AXIN1,1
BCAR1,BCAR1,1
BCL2L1,BCL2L1,1
BCL2L11,BCL2L11,1
BDNF,BDNF,1
BECN1,BECN1,1
BMP2,BMP2,1
BMP4,BMP4,1
BRCA1,BRCA1,1
BTC,BTC,1
CASP3,CASP3,1
CASP8,CASP8,1
CASP9,CASP9,1
CAV1,CAV1,1
CBL,CBL,1
CCL2,CCL2,1
CCN2,CCN2,1
CCNA2,CCNA2,1
CCNB1,CCNB1,1
CCND1,CCND1,1
CD19,CD19,1
CD247,CD247,1
CD274,CD274,1
CD28,CD28,1
CD34,CD34,1
CD4,CD4,1
CD44,CD44,1
CD8A,CD8A,1
CDC42,CDC42,1
CDH1,CDH1,1
CDH2,CDH2,1
CDH5,CDH5,1
CDK1,CDK1,1
CDK4,CDK4,1
CDKN1A,CDKN1A,1
CDKN1B,CDKN1B,1
CDKN2A,CDKN2A,1
CHUK,CHUK,1
CREB1,CREB1,1
CRK,CRK,1
CRKL,CRKL,1
CSF1,CSF1,1
CSF2,CSF2,1
CSF3,CSF3,1
CSK,CSK,1
CTNNA1,CTNNA1,1
CTNNB1,CTNNB1,1
CTNND1,CTNND1,1
CTTN,CTTN,1
CXCL12,CXCL12,1
CXCL8,CXCL8,1
CXCR4,CXCR4,1
CYCS,CYCS,1
DLG4,DLG4,1
DNM2,DNM2,1
EDN1,EDN1,1
EGF,EGF,1
EGFR,EGFR,1
EP300,EP300,1
EPCAM,EPCAM,1
EPHA2,EPHA2,1
EPO,EPO,1
EPOR,EPOR,1
EPS15,EPS15,1
ERBB2,ERBB2,1
ERBB3,ERBB3,1
ERBB4,ERBB4,1
EREG,EREG,1
ESR1,ESR1,1
EZH2,EZH2,1
EZR,EZR,1
FAS,FAS,1
FBXW7,FBXW7,1
FGF1,FGF1,1
FGF10,FGF10,1
FGF13,FGF13,1
FGF19,FGF19,1
FGF2,FGF2,1
FGF23,FGF23,1
FGF3,FGF3,1
FGF4,FGF4,1
FGF7,FGF7,1
FGF8,FGF8,1
FGFR1,FGFR1,1
FGFR2,FGFR2,1
FGFR3,FGFR3,1
FGFR4,FGFR4,1
FGR,FGR,1
FLNA,FLNA,1
FLT1,FLT1,1
FLT3LG,FLT3LG,1
FLT4,FLT4,1
FN1,FN1,1
FOS,FOS,1
FOXO1,FOXO1,1
FOXO3,FOXO3,1
FOXP3,FOXP3,1
FYN,FYN,1
GAB1,GAB1,1
GAB2,GAB2,1
GAPDH,GAPDH,1
GATA3,GATA3,1
GFAP,GFAP,1
GNA11,GNA11,1
GNAQ,GNAQ,1
GRB2,GRB2,1
H2AX,H2AX,1
HBEGF,HBEGF,1
HDAC1,HDAC1,1
HGF,HGF,1
HGS,HGS,1
HIF1A,HIF1A,1
HNF4A,HNF4A,1
HPGDS,HPGDS,1
HRAS,HRAS,1
HSP90AA1,HSP90AA1,1
HSP90AB1,HSP90AB1,1
HSPA4,HSPA4,1
HSPA5,HSPA5,1
HSPA8,HSPA8,1
ICAM1,ICAM1,1
IFNA1,IFNA1,1
IFNB1,IFNB1,1
IFNG,IFNG,1
IGF1,IGF1,1
IGF2,IGF2,1
IKBKG,IKBKG,1
IL10,IL10,1
IL13,IL13,1
